,city,latitude,longitude,timepoint,main_weather,feels_like,humidity,wind_speed,precipitation,clouds,city_id
51,St Malo,49.314695,-96.9538228,1720818000,scattered clouds,31.42,65,5.91,0.0,32,31
52,St Malo,49.314695,-96.9538228,1720828800,scattered clouds,31.03,76,4.72,0.0,25,31
53,St Malo,49.314695,-96.9538228,1720839600,scattered clouds,24.19,89,4.36,0.0,41,31
54,St Malo,49.314695,-96.9538228,1720850400,moderate rain,22.25,97,4.0,3.48,21,31
55,St Malo,49.314695,-96.9538228,1720861200,light rain,21.05,98,3.04,1.94,81,31
56,St Malo,49.314695,-96.9538228,1720872000,light rain,22.37,97,2.13,0.85,88,31
57,St Malo,49.314695,-96.9538228,1720882800,broken clouds,26.62,85,2.85,0.0,75,31
58,St Malo,49.314695,-96.9538228,1720893600,light rain,33.83,70,1.19,0.83,43,31
59,St Malo,49.314695,-96.9538228,1720904400,scattered clouds,34.65,62,0.74,0.0,37,31
60,St Malo,49.314695,-96.9538228,1720915200,light rain,31.18,85,4.08,2.47,41,31
61,St Malo,49.314695,-96.9538228,1720926000,light rain,22.61,96,4.0,1.59,12,31
62,St Malo,49.314695,-96.9538228,1720936800,light rain,19.23,92,4.66,0.89,15,31
63,St Malo,49.314695,-96.9538228,1720947600,light rain,16.53,87,3.41,0.61,100,31
64,St Malo,49.314695,-96.9538228,1720958400,light rain,15.22,87,3.65,0.49,100,31
65,St Malo,49.314695,-96.9538228,1720969200,broken clouds,20.6,66,3.76,0.0,70,31
66,St Malo,49.314695,-96.9538228,1720980000,scattered clouds,24.77,60,4.03,0.0,37,31
67,St Malo,49.314695,-96.9538228,1720990800,clear sky,25.95,58,2.12,0.0,4,31
68,St Malo,49.314695,-96.9538228,1721001600,clear sky,25.95,63,0.29,0.0,4,31
69,St Malo,49.314695,-96.9538228,1721012400,clear sky,20.77,79,2.3,0.0,0,31
70,St Malo,49.314695,-96.9538228,1721023200,light rain,19.29,91,7.46,1.27,38,31
71,St Malo,49.314695,-96.9538228,1721034000,moderate rain,16.87,97,4.51,8.02,95,31
72,St Malo,49.314695,-96.9538228,1721044800,overcast clouds,17.83,94,5.05,0.0,85,31
73,St Malo,49.314695,-96.9538228,1721055600,scattered clouds,17.03,86,6.9,0.0,48,31
74,St Malo,49.314695,-96.9538228,1721066400,broken clouds,19.36,75,7.38,0.0,74,31
75,St Malo,49.314695,-96.9538228,1721077200,light rain,20.2,75,7.18,0.19,100,31
76,St Malo,49.314695,-96.9538228,1721088000,light rain,18.95,79,6.27,0.11,100,31
77,St Malo,49.314695,-96.9538228,1721098800,broken clouds,14.48,92,3.43,0.0,72,31
78,St Malo,49.314695,-96.9538228,1721109600,scattered clouds,12.92,95,2.51,0.0,39,31
79,St Malo,49.314695,-96.9538228,1721120400,clear sky,11.85,94,2.19,0.0,10,31
80,Bayeux,49.2764624,-0.7024738,1720699200,broken clouds,19.54,51,3.44,0.0,73,7
81,Bayeux,49.2764624,-0.7024738,1720710000,broken clouds,19.12,52,4.64,0.0,75,7
82,Bayeux,49.2764624,-0.7024738,1720720800,moderate rain,14.95,81,4.08,4.89,84,7
83,Bayeux,49.2764624,-0.7024738,1720731600,moderate rain,11.62,94,2.32,7.13,100,7
84,Bayeux,49.2764624,-0.7024738,1720742400,moderate rain,11.13,94,2.7,4.65,100,7
85,Bayeux,49.2764624,-0.7024738,1720753200,overcast clouds,10.27,89,1.44,0.0,85,7
86,Bayeux,49.2764624,-0.7024738,1720764000,broken clouds,11.46,90,3.0,0.0,51,7
87,Bayeux,49.2764624,-0.7024738,1720774800,clear sky,16.22,75,3.41,0.0,8,7
88,Bayeux,49.2764624,-0.7024738,1720785600,light rain,17.55,74,1.69,1.62,22,7
89,Bayeux,49.2764624,-0.7024738,1720796400,moderate rain,16.73,78,5.26,3.92,41,7
90,Bayeux,49.2764624,-0.7024738,1720807200,light rain,14.56,90,3.81,0.82,68,7
91,Bayeux,49.2764624,-0.7024738,1720818000,light rain,12.95,93,3.19,0.29,90,7
92,Bayeux,49.2764624,-0.7024738,1720828800,light rain,11.68,93,1.85,0.6,66,7
93,Bayeux,49.2764624,-0.7024738,1720839600,clear sky,11.08,91,1.05,0.0,3,7
94,Bayeux,49.2764624,-0.7024738,1720850400,few clouds,12.9,90,0.84,0.0,11,7
95,Bayeux,49.2764624,-0.7024738,1720861200,light rain,16.14,78,1.46,0.74,22,7
96,Bayeux,49.2764624,-0.7024738,1720872000,light rain,17.59,67,2.46,0.91,48,7
97,Bayeux,49.2764624,-0.7024738,1720882800,light rain,18.01,63,3.06,0.38,84,7
98,Bayeux,49.2764624,-0.7024738,1720893600,broken clouds,16.3,70,2.54,0.0,51,7
